"ExifTool Version Number"," 12.40"
"File Name"," DVWA.html"
"Directory"," Localhost/website"
"File Size"," 1415 bytes"
"File Modification Date/Time"," 2022"
"File Access Date/Time"," 2022"
"File Inode Change Date/Time"," 2022"
"File Permissions"," -rw-r--r--"
"File Type"," HTML"
"File Type Extension"," html"
"MIME Type"," text/html"
"Content Type"," text/html; charset=UTF-8"
"Title"," Login"
"ExifTool Version Number"," 12.40"
"File Name"," DVWA.html"
"Directory"," Localhost/website"
"File Size"," 1415 bytes"
"File Modification Date/Time"," 2022"
"File Access Date/Time"," 2022"
"File Inode Change Date/Time"," 2022"
"File Permissions"," -rw-r--r--"
"File Type"," HTML"
"File Type Extension"," html"
"MIME Type"," text/html"
"Content Type"," text/html; charset=UTF-8"
"Title"," Login"
"ExifTool Version Number"," 12.40"
"File Name"," xss_s.html"
"Directory"," Localhost/website/DVWA/vulnerabilities"
"File Size"," 1415 bytes"
"File Modification Date/Time"," 2022"
"File Access Date/Time"," 2022"
"File Inode Change Date/Time"," 2022"
"File Permissions"," -rw-r--r--"
"File Type"," HTML"
"File Type Extension"," html"
"MIME Type"," text/html"
"Content Type"," text/html; charset=UTF-8"
"Title"," Login"
"ExifTool Version Number"," 12.40"
"File Name"," csrf.html"
"Directory"," Localhost/website/DVWA/vulnerabilities"
"File Size"," 1415 bytes"
"File Modification Date/Time"," 2022"
"File Access Date/Time"," 2022"
"File Inode Change Date/Time"," 2022"
"File Permissions"," -rw-r--r--"
"File Type"," HTML"
"File Type Extension"," html"
"MIME Type"," text/html"
"Content Type"," text/html; charset=UTF-8"
"Title"," Login"
"ExifTool Version Number"," 12.40"
"File Name"," setup.html"
"Directory"," Localhost/website/DVWA"
"File Size"," 3.9 KiB"
"File Modification Date/Time"," 2022"
"File Access Date/Time"," 2022"
"File Inode Change Date/Time"," 2022"
"File Permissions"," -rw-r--r--"
"File Type"," HTML"
"File Type Extension"," html"
"MIME Type"," text/html"
"Content Type"," text/html; charset=UTF-8"
"Title"," Setup"
"ExifTool Version Number"," 12.40"
"File Name"," upload.html"
"Directory"," Localhost/website/DVWA/vulnerabilities"
"File Size"," 1415 bytes"
"File Modification Date/Time"," 2022"
"File Access Date/Time"," 2022"
"File Inode Change Date/Time"," 2022"
"File Permissions"," -rw-r--r--"
"File Type"," HTML"
"File Type Extension"," html"
"MIME Type"," text/html"
"Content Type"," text/html; charset=UTF-8"
"Title"," Login"
"ExifTool Version Number"," 12.40"
"File Name"," weak_id.html"
"Directory"," Localhost/website/DVWA/vulnerabilities"
"File Size"," 1415 bytes"
"File Modification Date/Time"," 2022"
